Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Country Code
Azerbaijan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",5.8,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,AZE
Bangladesh,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)","1,996.20",,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,BAN
Bhutan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",71.1,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,BHU
Brunei Darussalam,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,BRU
Cambodia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",198.3,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,CAM
"China, People's Republic of","Total Official Flows for Infrastructure, Official Development Assistance (ODA)",93.6,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,PRC
Cook Islands,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",4.3,,2019,"Disbursements, at constant 2019 prices, $ million",9.a.1,COO
Fiji,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",28.6,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,FIJ
Georgia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",150,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,GEO
"Hong Kong, China","Total Official Flows for Infrastructure, Official Development Assistance (ODA)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,HKG
India,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)","1,557.60",,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,IND
Indonesia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",400.3,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,INO
Kazakhstan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",2.9,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,KAZ
Kiribati,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",2.3,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,KIR
"Korea, Republic of","Total Official Flows for Infrastructure, Official Development Assistance (ODA)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,KOR
Kyrgyz Republic,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",81.3,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,KGZ
Lao People's Democratic Republic,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",86.1,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,LAO
Malaysia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",2.6,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,MAL
Maldives,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",60.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,MLD
Marshall Islands,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",10.5,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,RMI
"Micronesia, Federated States of","Total Official Flows for Infrastructure, Official Development Assistance (ODA)",12.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,FSM
Mongolia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",57.3,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,MON
Myanmar,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",607.3,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,MYA
Nauru,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",5.1,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,NAU
Nepal,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",344.2,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,NEP
Niue,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",0,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,NIU
Pakistan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",525,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,PAK
Palau,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",18.9,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,PAL
Papua New Guinea,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",159,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,PNG
Philippines,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",483.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,PHI
Samoa,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",9.9,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,SAM
Singapore,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,SIN
Solomon Islands,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",21.7,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,SOL
Sri Lanka,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",284.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,SRI
"Taipei,China","Total Official Flows for Infrastructure, Official Development Assistance (ODA)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TAP
Tajikistan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",174.5,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TAJ
Thailand,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",192.7,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,THA
Timor-Leste,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",20,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TIM
Tonga,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",14.6,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TON
Turkmenistan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",12,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TKM
Tuvalu,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",5.8,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TUV
Uzbekistan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",304.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,UZB
Vanuatu,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",9.6,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,VAN
Viet Nam,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",813.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,VIE
Afghanistan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",6.6,,2019,"Disbursements, at constant 2019 prices, $ million",9.a.1,AFG
Armenia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",150,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,ARM
Azerbaijan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",240.2,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,AZE
Bangladesh,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",632.2,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,BAN
Bhutan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",9,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,BHU
Brunei Darussalam,"Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,BRU
Cambodia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",40.5,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,CAM
"China, People's Republic of","Total Official Flows for Infrastructure, Other Official Flows (OOF)","1,298.60",,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,PRC
Cook Islands,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",4.9,,2019,"Disbursements, at constant 2019 prices, $ million",9.a.1,COO
Fiji,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",120.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,FIJ
Georgia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",384.1,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,GEO
"Hong Kong, China","Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,HKG
India,"Total Official Flows for Infrastructure, Other Official Flows (OOF)","2,791.00",,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,IND
Indonesia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)","1,014.70",,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,INO
Kazakhstan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",421.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,KAZ
Kiribati,"Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,KIR
"Korea, Republic of","Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,KOR
Kyrgyz Republic,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",11,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,KGZ
Lao People's Democratic Republic,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",3,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,LAO
Malaysia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",2.3,,2018,"Disbursements, at constant 2019 prices, $ million",9.a.1,MAL
Maldives,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",2,,2018,"Disbursements, at constant 2019 prices, $ million",9.a.1,MLD
Marshall Islands,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",33.9,,2019,"Disbursements, at constant 2019 prices, $ million",9.a.1,RMI
"Micronesia, Federated States of","Total Official Flows for Infrastructure, Other Official Flows (OOF)",0.2,,2019,"Disbursements, at constant 2019 prices, $ million",9.a.1,FSM
Mongolia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",122.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,MON
Myanmar,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",394.8,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,MYA
Nauru,"Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,NAU
Nepal,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",1.7,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,NEP
Niue,"Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,NIU
Pakistan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",544.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,PAK
Palau,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",0.7,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,PAL
Papua New Guinea,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",329.9,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,PNG
Philippines,"Total Official Flows for Infrastructure, Other Official Flows (OOF)","1,225.10",,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,PHI
Samoa,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",2.8,,2017,"Disbursements, at constant 2019 prices, $ million",9.a.1,SAM
Singapore,"Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,SIN
Solomon Islands,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",70,,2019,"Disbursements, at constant 2019 prices, $ million",9.a.1,SOL
Sri Lanka,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",425.1,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,SRI
"Taipei,China","Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TAP
Tajikistan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",46,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TAJ
Thailand,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",218.9,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,THA
Timor-Leste,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",10.5,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TIM
Tonga,"Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TON
Turkmenistan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",75.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TKM
Tuvalu,"Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,TUV
Uzbekistan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",716.4,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,UZB
Vanuatu,"Total Official Flows for Infrastructure, Other Official Flows (OOF)", … ,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,VAN
Viet Nam,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",124.1,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,VIE
Afghanistan,Total Outstanding Debt,"1,520",,2020,$ million,,AFG
Afghanistan,Total Outstanding Debt,7.5,¤,2020,% of GNI,,AFG
Armenia,Total Outstanding Debt,"6,643",,2021,$ million,,ARM
Armenia,Total Outstanding Debt,48.4,,2020,% of GNI,,ARM
Azerbaijan,Total Outstanding Debt,"8,136",,2021,$ million,,AZE
Azerbaijan,Total Outstanding Debt,19.5,,2020,% of GNI,,AZE
Bangladesh,Total Outstanding Debt,"44,095",,2020,$ million,,BAN
Bangladesh,Total Outstanding Debt,13.2,,2020,% of GNI,,BAN
Bhutan,Total Outstanding Debt,"2,990",,2020,$ million,,BHU
Bhutan,Total Outstanding Debt,136.4,,2020,% of GNI,,BHU
Brunei Darussalam,Total Outstanding Debt, … ,,2021,$ million,,BRU
Brunei Darussalam,Total Outstanding Debt, … ,,2020,% of GNI,,BRU
Cambodia,Total Outstanding Debt,"9,493",,2021,$ million,,CAM
Cambodia,Total Outstanding Debt,35,,2020,% of GNI,,CAM
"China, People's Republic of",Total Outstanding Debt,"2,400,790",,2020,$ million,,PRC
"China, People's Republic of",Total Outstanding Debt,16.1,,2020,% of GNI,,PRC
Cook Islands,Total Outstanding Debt,115,,2021,$ million,,COO
Cook Islands,Total Outstanding Debt, … ,,2020,% of GNI,,COO
Fiji,Total Outstanding Debt,"1,091",,2021,$ million,,FIJ
Fiji,Total Outstanding Debt,18,,2020,% of GNI,,FIJ
Georgia,Total Outstanding Debt,"17,839",,2021,$ million,,GEO
Georgia,Total Outstanding Debt,107.4,,2020,% of GNI,,GEO
"Hong Kong, China",Total Outstanding Debt,"1,878,975",,2021,$ million,,HKG
"Hong Kong, China",Total Outstanding Debt,491.8,,2020,% of GNI,,HKG
India,Total Outstanding Debt,"614,919",,2021,$ million,,IND
India,Total Outstanding Debt,21.6,,2020,% of GNI,,IND
Indonesia,Total Outstanding Debt,"415,065",,2021,$ million,,INO
Indonesia,Total Outstanding Debt,39.4,,2020,% of GNI,,INO
Kazakhstan,Total Outstanding Debt,"164,156",,2020,$ million,,KAZ
Kazakhstan,Total Outstanding Debt,100.5,,2020,% of GNI,,KAZ
Kiribati,Total Outstanding Debt,39,,2021,$ million,,KIR
Kiribati,Total Outstanding Debt,10,,2020,% of GNI,,KIR
"Korea, Republic of",Total Outstanding Debt,"628,468",,2021,$ million,,KOR
"Korea, Republic of",Total Outstanding Debt,31.9,,2020,% of GNI,,KOR
Kyrgyz Republic,Total Outstanding Debt,"7,271",,2021,$ million,,KGZ
Kyrgyz Republic,Total Outstanding Debt,96,,2020,% of GNI,,KGZ
Lao People's Democratic Republic,Total Outstanding Debt,"17,957",,2020,$ million,,LAO
Lao People's Democratic Republic,Total Outstanding Debt,98,,2020,% of GNI,,LAO
Malaysia,Total Outstanding Debt,"256,290",,2021,$ million,,MAL
Malaysia,Total Outstanding Debt,69.8,,2020,% of GNI,,MAL
Maldives,Total Outstanding Debt,"2,046",,2021,$ million,,MLD
Maldives,Total Outstanding Debt,56.4,,2020,% of GNI,,MLD
Marshall Islands,Total Outstanding Debt,56,,2021,$ million,,RMI
Marshall Islands,Total Outstanding Debt,20.9,,2020,% of GNI,,RMI
"Micronesia, Federated States of",Total Outstanding Debt,59,,2021,$ million,,FSM
